Fecha,Descripción,Mano de obra (€),Tipo,Marca
2023-12-30,"vivo y21 NO CARGA, 49€ SI ES CAMBIO DE CONECTOR 15€",49.00€,Puerto carga/conector,Otras
2023-12-29,honor magic 4 lite 5g cambio pantalla compatible 65€ avisar 39€,65.00€,Cambio pantalla,Huawei/Honor
2023-12-29,realme x2 cambio pantalla compatible 85€. 20€,85.00€,Cambio pantalla,Oppo/Realme
2023-12-29,t580 entra carga pèro no llega a cargarse la 49€,49.00€,Otros,Otras
2023-12-29,honor 8 cambio pantalla compatible 59€ deja 5 32€,59.00€,Cambio pantalla,Huawei/Honor
2023-12-29,"S7 RETIRAR LA BANDEJA SIM 19€, TAPA TRASE 19€",19.00€,Tapa trasera,Samsung
2023-12-29,mando ps4 blanco compatible RETIRAR JACK DE LA FICHA DE AURICULARES 19€,19.00€,Otros,Otras
2023-12-29,"redmi note 8t cambio bateria 39€ tapoa despegada, 29€",39.00€,Cambio batería,Xiaomi/Redmi
2023-12-29,ONE PLUS 8T CAMBIO DE BATERIA 49€ DEJA SEÑAL DE 30€,49.00€,Cambio batería,Otras
2023-12-28,"nintendo el mando azul no entra en la guia, si se 19€",19.00€,Otros,Otras
2023-12-27,s7 PASAR DATOS DE TELEFONO CON PANTALLA ROT 45€,45.00€,Otros,Samsung
2023-12-27,realme c11 2021 cambio pantalla 59€ deja 20€ PAGADOS 27€,59.00€,Cambio pantalla,Oppo/Realme
2023-12-27,OPPO FIND X5 LITE -RESERVADA-CAMBIO DE PANTALLA 119€ MA 54€,119.00€,Cambio pantalla,Oppo/Realme
2023-12-27,REDMI 9C CAMBIO PANTALLA COMPATIBLE 55€ EL TELE 37€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-12-21,IPAD PRO 9.7 CAMBIO DE BATERIA 617444885 PRESUPUESTO 50€,50.00€,Cambio batería,Otras
2023-12-21,iphone 11 pro limpieza 15€ 15€,15.00€,Limpieza,Apple
2023-12-21,MI A3 SE REINICIA. PRESUPUESTO INICIAL 49 € 49€,49.00€,Otros,Xiaomi/Redmi
2023-12-20,"REDMI 9T NO CARGA NI ENCIENDE, REVISAR. SI ES CON 39€",39.00€,Otros,Xiaomi/Redmi
2023-12-19,REDMI 9 PERDIO EL PIN Y NO SE ACUERDA DE LA CUEN 38€,38.00€,Otros,Xiaomi/Redmi
2023-12-19,asus no coge nada de carga. a veces des pues 50€,50.00€,Otros,Otras
2023-12-19,"Portatil Toshiba NO FUNCIONA PANTALLA, REVISAR PANTALLA Y 49€",49.00€,Otros,Otras
2023-12-18,A10 CAMBIO PANTALLA COMPATIBLE 55€ AVISAR 41€,55.00€,Cambio pantalla,Samsung
2023-12-17,redmi 9 t cambio de pantalla 49€ 25€,49.00€,Cambio pantalla,Xiaomi/Redmi
2023-12-17,redmi 9 cambio de pantalla 49€ 27€,49.00€,Cambio pantalla,Xiaomi/Redmi
2023-12-17,IPHONE 11 CAMBIO PANTALLA COMPATIBLE 85€. FACE I X20€,85.00€,Cambio pantalla,Apple
2023-12-17,IPHONE XR cambio de pantalla 85€ 20€,85.00€,Cambio pantalla,Apple
2023-12-16,"motorola limpieza de conector 15€, es un poco d 15€",15.00€,Puerto carga/conector,Otras
2023-12-16,"redmi note 8 cambio pantalla 59€, tapa trasera rota 39€",59.00€,Cambio pantalla,Xiaomi/Redmi
2023-12-16,oppo a73 5g CAMBIO DE PANTALLA 55 € LIMPIEZA PUE 53€,55.00€,Cambio pantalla,Oppo/Realme
2023-12-15,note 9s cambio tapa trasera azul 25€,25.00€,Tapa trasera,Samsung
